grid_x,grid_y,chiplet_id,chiplet_power,temperature,occupancy_mask,edge_mask,coord_x_norm,coord_y_norm
0.000000,0.000000,background,0.000000,61.029999,0,0,0.000000,0.000000
0.587302,0.000000,background,0.000000,61.189999,0,0,0.015873,0.000000
1.174603,0.000000,background,0.000000,61.470001,0,0,0.031746,0.000000
1.761905,0.000000,background,0.000000,61.820000,0,0,0.047619,0.000000
2.349206,0.000000,background,0.000000,62.220001,0,0,0.063492,0.000000
2.936508,0.000000,background,0.000000,62.669998,0,0,0.079365,0.000000
3.523809,0.000000,background,0.000000,63.130001,0,0,0.095238,0.000000
4.111111,0.000000,background,0.000000,63.619999,0,0,0.111111,0.000000
4.698413,0.000000,background,0.000000,64.110001,0,0,0.126984,0.000000
5.285714,0.000000,background,0.000000,64.620003,0,0,0.142857,0.000000
5.873016,0.000000,background,0.000000,65.139999,0,0,0.158730,0.000000
6.460318,0.000000,background,0.000000,65.669998,0,0,0.174603,0.000000
7.047619,0.000000,background,0.000000,66.199997,0,0,0.190476,0.000000
7.634921,0.000000,background,0.000000,66.750000,0,0,0.206349,0.000000
8.222222,0.000000,background,0.000000,67.279999,0,0,0.222222,0.000000
8.809524,0.000000,background,0.000000,67.800003,0,0,0.238095,0.000000
9.396826,0.000000,background,0.000000,68.320000,0,0,0.253968,0.000000
9.984127,0.000000,background,0.000000,68.779999,0,0,0.269841,0.000000
10.571428,0.000000,background,0.000000,69.190002,0,0,0.285714,0.000000
11.158731,0.000000,background,0.000000,69.550003,0,0,0.301587,0.000000
11.746032,0.000000,background,0.000000,69.889999,0,0,0.317460,0.000000
12.333333,0.000000,background,0.000000,70.180000,0,0,0.333333,0.000000
12.920635,0.000000,background,0.000000,70.449997,0,0,0.349206,0.000000
13.507936,0.000000,background,0.000000,70.690002,0,0,0.365079,0.000000
14.095238,0.000000,background,0.000000,70.900002,0,0,0.380952,0.000000
14.682540,0.000000,background,0.000000,71.070000,0,0,0.396825,0.000000
15.269841,0.000000,background,0.000000,71.220001,0,0,0.412698,0.000000
15.857142,0.000000,background,0.000000,71.339996,0,0,0.428571,0.000000
16.444445,0.000000,background,0.000000,71.440002,0,0,0.444444,0.000000
17.031746,0.000000,background,0.000000,71.500000,0,0,0.460317,0.000000
17.619047,0.000000,background,0.000000,71.529999,0,0,0.476190,0.000000
18.206348,0.000000,background,0.000000,71.529999,0,0,0.492063,0.000000
18.793652,0.000000,background,0.000000,71.500000,0,0,0.507937,0.000000
19.380953,0.000000,background,0.000000,71.449997,0,1,0.523810,0.000000
19.968254,0.000000,background,0.000000,71.360001,0,1,0.539683,0.000000
20.555555,0.000000,background,0.000000,71.239998,0,1,0.555556,0.000000
21.142857,0.000000,background,0.000000,71.099998,0,1,0.571429,0.000000
21.730158,0.000000,background,0.000000,70.919998,0,1,0.587302,0.000000
22.317461,0.000000,background,0.000000,70.709999,0,1,0.603175,0.000000
22.904762,0.000000,background,0.000000,70.480003,0,1,0.619048,0.000000
23.492064,0.000000,background,0.000000,70.220001,0,1,0.634921,0.000000
24.079365,0.000000,background,0.000000,69.919998,0,1,0.650794,0.000000
24.666666,0.000000,background,0.000000,69.589996,0,1,0.666667,0.000000
25.253969,0.000000,background,0.000000,69.230003,0,1,0.682540,0.000000
25.841270,0.000000,background,0.000000,68.830002,0,1,0.698413,0.000000
26.428572,0.000000,background,0.000000,68.389999,0,1,0.714286,0.000000
27.015873,0.000000,background,0.000000,67.900002,0,1,0.730159,0.000000
27.603174,0.000000,background,0.000000,67.389999,0,1,0.746032,0.000000
28.190475,0.000000,background,0.000000,66.849998,0,0,0.761905,0.000000
28.777779,0.000000,background,0.000000,66.300003,0,0,0.777778,0.000000
29.365080,0.000000,background,0.000000,65.760002,0,0,0.793651,0.000000
29.952381,0.000000,background,0.000000,65.230003,0,0,0.809524,0.000000
30.539682,0.000000,background,0.000000,64.709999,0,0,0.825397,0.000000
31.126984,0.000000,background,0.000000,64.209999,0,0,0.841270,0.000000
31.714285,0.000000,background,0.000000,63.720001,0,0,0.857143,0.000000
32.301586,0.000000,background,0.000000,63.240002,0,0,0.873016,0.000000
32.888889,0.000000,background,0.000000,62.770000,0,0,0.888889,0.000000
33.476189,0.000000,background,0.000000,62.310001,0,0,0.904762,0.000000
34.063492,0.000000,background,0.000000,61.880001,0,0,0.920635,0.000000
34.650795,0.000000,background,0.000000,61.470001,0,0,0.936508,0.000000
35.238094,0.000000,background,0.000000,61.090000,0,0,0.952381,0.000000
35.825397,0.000000,background,0.000000,60.770000,0,0,0.968254,0.000000
36.412697,0.000000,background,0.000000,60.520000,0,0,0.984127,0.000000
37.000000,0.000000,background,0.000000,60.380001,0,0,1.000000,0.000000
0.000000,0.587302,background,0.000000,61.230000,0,0,0.000000,0.015873
0.587302,0.587302,background,0.000000,61.400002,0,0,0.015873,0.015873
1.174603,0.587302,background,0.000000,61.680000,0,0,0.031746,0.015873
1.761905,0.587302,background,0.000000,62.040001,0,0,0.047619,0.015873
2.349206,0.587302,background,0.000000,62.459999,0,0,0.063492,0.015873
2.936508,0.587302,background,0.000000,62.910000,0,0,0.079365,0.015873
3.523809,0.587302,background,0.000000,63.389999,0,0,0.095238,0.015873
4.111111,0.587302,background,0.000000,63.889999,0,0,0.111111,0.015873
4.698413,0.587302,background,0.000000,64.389999,0,0,0.126984,0.015873
5.285714,0.587302,background,0.000000,64.919998,0,0,0.142857,0.015873
5.873016,0.587302,background,0.000000,65.449997,0,0,0.158730,0.015873
6.460318,0.587302,background,0.000000,65.989998,0,0,0.174603,0.015873
7.047619,0.587302,background,0.000000,66.550003,0,0,0.190476,0.015873
7.634921,0.587302,background,0.000000,67.129997,0,0,0.206349,0.015873
8.222222,0.587302,background,0.000000,67.699997,0,0,0.222222,0.015873
8.809524,0.587302,background,0.000000,68.180000,0,0,0.238095,0.015873
9.396826,0.587302,background,0.000000,68.739998,0,0,0.253968,0.015873
9.984127,0.587302,background,0.000000,69.209999,0,0,0.269841,0.015873
10.571428,0.587302,background,0.000000,69.620003,0,0,0.285714,0.015873
11.158731,0.587302,background,0.000000,69.989998,0,0,0.301587,0.015873
11.746032,0.587302,background,0.000000,70.320000,0,0,0.317460,0.015873
12.333333,0.587302,background,0.000000,70.629997,0,0,0.333333,0.015873
12.920635,0.587302,background,0.000000,70.900002,0,0,0.349206,0.015873
13.507936,0.587302,background,0.000000,71.139999,0,0,0.365079,0.015873
14.095238,0.587302,background,0.000000,71.349998,0,0,0.380952,0.015873
14.682540,0.587302,background,0.000000,71.529999,0,0,0.396825,0.015873
15.269841,0.587302,background,0.000000,71.680000,0,0,0.412698,0.015873
15.857142,0.587302,background,0.000000,71.800003,0,0,0.428571,0.015873
